,Profit/Loss
2021-03-18,-3033.3864360559064
2021-03-25,-2383.9825391062045
2021-04-20,14766.777667770953
2021-04-23,-4270.557460419019
2021-05-14,13116.768154987258
2021-06-01,1544.788821639698
2021-06-04,-4492.183497412378
2021-07-12,44353.83561858496
2021-07-19,-3391.5943239484304
2021-08-02,6703.271348297385
2021-08-10,-2237.5273681904964
2021-08-18,-4323.991781103133
2021-09-07,15126.060080847925
2021-09-15,-613.7282503189426
2021-09-17,-6577.285365905025
2021-10-07,43534.300716540056
2021-11-01,30059.899504246318
2021-11-10,-3825.32946498191
2021-11-15,-10661.529391130995
2021-11-23,-2542.6874599347248
2021-11-29,-16480.39091961616
2021-12-02,-9379.039631188487
2021-12-08,-22149.821941283117
2021-12-27,17679.791715480867
2022-01-03,-2418.0889296975956
2022-01-12,11684.73432082319
2022-01-24,-4681.908181453769
2022-01-28,-8125.863511173563
2022-02-03,-13020.552873917377
2022-02-24,11144.064167501652
2022-03-03,-5020.259676302577
2022-03-16,1871.7208332283817
2022-03-23,-13005.160620477018
2022-03-28,-6793.490299752258
2022-04-06,-8972.03812114247
2022-04-19,3128.8543429356732
2022-05-02,806.7122119897863
2022-05-05,-8067.134645923294
2022-05-13,-6556.655721677433
2022-05-24,-1304.984431196909
2022-06-10,-2877.1555132899102
2022-06-23,940.1458055701833
2022-06-28,-7065.444009145419
2022-07-05,-2300.9034556405013
2022-07-12,-1918.648079156248
2022-07-19,-4332.226174812525
2022-07-25,-5389.778388758638
2022-07-28,-7160.297845703039
2022-08-17,10454.622467929961
2022-09-07,16621.566810366323
2022-09-13,-6777.5284866584
2022-10-03,2288.312080062902
2022-10-10,-353.67982547527845
2022-10-13,-1344.8271831929917
2022-10-31,-3278.4869431342668
2022-11-10,-7289.573548066572
2022-11-18,-4790.347304087871
2022-11-30,-5524.952479743984
2022-12-06,-1368.4741981499715
2022-12-12,-2166.8627392550206
2022-12-15,-4404.705047217396
2022-12-19,-3888.9543886444153
2022-12-29,-2371.049842222887
2023-01-09,-3195.745680060888
2023-02-09,10986.31959338695
2023-03-02,13810.867979117522
2023-03-10,-2990.0692088739806
2023-03-16,-9475.080987138446
2023-04-03,2779.001162612064
2023-04-05,-1678.9252921752632
2023-04-14,354.86672533958205
2023-04-24,-859.8125350674057
2023-04-28,-2594.790876746028
2023-05-15,9772.957713786369
2023-06-07,19254.18756914421
2023-06-21,10079.44594454625
2023-06-23,-4214.374281692422
2023-07-06,-2890.27828624647
2023-07-26,13820.431679707342
2023-07-28,-7834.283520821838
2023-08-03,-11096.602432171812
2023-08-14,-711.4732381117062
2023-08-21,-3758.419763288125
2023-08-24,-7609.5783763368745
2023-09-08,14114.482970852834
2023-09-13,-5136.829514156874
2023-10-02,943.7999894892396
2023-10-20,14127.307556265263
2023-10-31,4386.999061970158
2023-11-30,31269.07427271489
2023-12-07,429.1483368047561
2023-12-14,-18921.90839410592
2023-12-26,-6551.0740704727705
2024-01-09,4317.308474770363
2024-01-18,-721.8054109946875
2024-01-23,-9772.744523862977
2024-02-06,-9743.073093297851
2024-02-09,-7264.6940244822745
2024-02-26,29322.096908845273
